UID          PID    PPID  C STIME TTY          TIME CMD
alexisp+    1190    1126  0 01:28 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
alexisp+    1194    1126  0 01:28 ?        00:00:00 /usr/libexec/goa-daemon
alexisp+    1203    1126  0 01:28 ?        00:00:00 /usr/libexec/goa-identity-service
alexisp+    1206    1126  0 01:28 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
alexisp+    1232    1178  0 01:28 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
alexisp+    1300    1232  0 01:28 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
alexisp+    1323    1126  0 01:28 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
alexisp+    1329    1323  0 01:28 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
alexisp+    1342    1126  0 01:28 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
alexisp+    1349    1126  0 01:28 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
alexisp+    1358    1126  0 01:28 ?        00:00:00 /usr/libexec/gvfsd-metadata
alexisp+    1367    1126  3 01:28 ?        00:00:06 /usr/bin/gnome-shell
alexisp+    1391    1367  0 01:28 ?        00:00:00 ibus-daemon --panel disable --xim
alexisp+    1395    1391  0 01:28 ?        00:00:00 /usr/libexec/ibus-dconf
alexisp+    1396    1391  0 01:28 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
alexisp+    1398    1126  0 01:28 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
alexisp+    1400    1126  0 01:28 ?        00:00:00 /usr/libexec/ibus-portal
alexisp+    1413    1126  0 01:28 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
alexisp+    1416    1126  0 01:28 ?        00:00:00 /usr/libexec/xdg-permission-store
alexisp+    1422    1126  0 01:28 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
alexisp+    1430    1126  0 01:28 ?        00:00:00 /usr/libexec/evolution-source-registry
alexisp+    1438    1126  0 01:28 ?        00:00:00 /usr/libexec/evolution-calendar-factory
alexisp+    1446    1126  0 01:28 ?        00:00:00 /usr/libexec/dconf-service
alexisp+    1452    1126  0 01:28 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
alexisp+    1467    1126  0 01:28 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
alexisp+    1473    1146  0 01:28 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
